county,gini
"Victoria County, Texas",0.4303
"Walker County, Texas",0.4561
"Webb County, Texas",0.4958
"Wichita County, Texas",0.4489
"Williamson County, Texas",0.3889
"Cache County, Utah",0.427
"Davis County, Utah",0.3802
"Salt Lake County, Utah",0.4302
"Utah County, Utah",0.4207
"Washington County, Utah",0.4372
"Weber County, Utah",0.4115
"Chittenden County, Vermont",0.4449
"Albemarle County, Virginia",0.4771
"Arlington County, Virginia",0.4299
"Augusta County, Virginia",0.4142
"Bedford County, Virginia",0.4453
"Chesterfield County, Virginia",0.408
"Fairfax County, Virginia",0.4225
"Fauquier County, Virginia",0.4155
"Frederick County, Virginia",0.3877
"Hanover County, Virginia",0.3999
"Henrico County, Virginia",0.4491
"James City County, Virginia",0.3936
"Loudoun County, Virginia",0.392
"Montgomery County, Virginia",0.5082
"Prince William County, Virginia",0.3811
"Roanoke County, Virginia",0.3729
"Rockingham County, Virginia",0.4177
"Spotsylvania County, Virginia",0.3968
"Stafford County, Virginia",0.3639
"York County, Virginia",0.4035
"Alexandria city, Virginia",0.4619
"Chesapeake city, Virginia",0.3993
"Hampton city, Virginia",0.4336
"Lynchburg city, Virginia",0.5197
"Newport News city, Virginia",0.4517
"Norfolk city, Virginia",0.4992
"Portsmouth city, Virginia",0.4115
"Richmond city, Virginia",0.5586
"Roanoke city, Virginia",0.4673
"Suffolk city, Virginia",0.4309
"Virginia Beach city, Virginia",0.4037
"Benton County, Washington",0.4206
"Chelan County, Washington",0.4267
"Clallam County, Washington",0.4688
"Clark County, Washington",0.4294
"Cowlitz County, Washington",0.4223
"Franklin County, Washington",0.4096
"Grant County, Washington",0.4097
"Grays Harbor County, Washington",0.4512
"Island County, Washington",0.3937
"King County, Washington",0.4612
"Kitsap County, Washington",0.4083
"Lewis County, Washington",0.418
"Pierce County, Washington",0.4277
"Skagit County, Washington",0.4261
"Snohomish County, Washington",0.4138
"Spokane County, Washington",0.458
"Thurston County, Washington",0.4082
"Whatcom County, Washington",0.4653
"Yakima County, Washington",0.4583
"Berkeley County, West Virginia",0.3889
"Cabell County, West Virginia",0.4758
"Harrison County, West Virginia",0.4504
"Kanawha County, West Virginia",0.4443
"Monongalia County, West Virginia",0.5099
"Raleigh County, West Virginia",0.4353
"Wood County, West Virginia",0.482
"Brown County, Wisconsin",0.4219
"Dane County, Wisconsin",0.4487
"Dodge County, Wisconsin",0.3842
"Eau Claire County, Wisconsin",0.4338
"Fond du Lac County, Wisconsin",0.4188
"Jefferson County, Wisconsin",0.3745
"Kenosha County, Wisconsin",0.4359
"La Crosse County, Wisconsin",0.4847
"Manitowoc County, Wisconsin",0.398
"Marathon County, Wisconsin",0.4437
"Milwaukee County, Wisconsin",0.4784
"Outagamie County, Wisconsin",0.3995
"Ozaukee County, Wisconsin",0.4933
